0.327 0.372 0.032 0.510   -1.0
0.378 0.023 0.615 0.587   -1.0
0.388 0.167 0.305 0.155   -1.0
0.626 0.155 0.034 0.125   -1.0
0.237 0.466 0.474 0.932   1.0
0.763 0.317 0.039 0.670   -1.0
0.144 0.997 0.413 0.175   -1.0
0.803 0.553 0.530 0.417   1.0
0.675 0.806 0.307 0.980   -1.0*
0.813 0.606 0.115 0.847   1.0
0.787 0.084 0.197 0.261   -1.0
0.636 0.024 0.333 0.674   -1.0
0.373 0.818 0.692 0.786   -1.0*
0.199 0.589 0.546 0.729   1.0
0.686 0.405 0.812 0.993   1.0
0.772 0.807 0.991 0.888   1.0
0.721 0.674 0.738 0.919   1.0
0.755 0.554 0.960 0.088   1.0
0.654 0.461 0.046 0.346   -1.0
0.039 0.545 0.836 0.585   1.0
0.842 0.272 0.679 0.654   1.0
0.063 0.427 0.072 0.054   -1.0
0.726 0.775 0.988 0.464   1.0
0.924 0.219 0.248 0.884   1.0
0.477 0.538 0.768 0.523   1.0
0.016 0.562 0.428 0.852   -1.0
0.702 0.694 0.419 0.381   1.0
0.684 0.444 0.775 0.756   1.0
0.089 0.481 0.273 0.077   -1.0
0.967 0.001 0.164 0.215   -1.0
0.471 0.692 0.422 0.240   -1.0
0.305 0.255 0.777 0.733   1.0
0.924 0.435 0.801 0.344   1.0
0.150 0.028 0.260 0.924   -1.0
0.758 0.013 0.265 0.031   -1.0
0.210 0.998 0.091 0.375   -1.0
0.976 0.846 0.904 0.398   1.0
0.119 0.703 0.342 0.895   1.0
0.449 0.820 0.872 0.250   1.0
0.688 0.400 0.191 0.949   1.0
0.974 0.707 0.337 0.239   1.0
0.428 0.450 0.735 0.519   1.0
0.948 0.495 0.671 0.852   1.0
0.757 0.971 0.596 0.099   1.0
0.033 0.547 0.686 0.905   1.0
0.849 0.593 0.197 0.040   -1.0
0.522 0.014 0.248 0.859   -1.0
0.986 0.287 0.703 0.721   1.0
0.528 0.668 0.301 0.199   -1.0
0.195 0.956 0.491 0.791   1.0
0.357 0.824 0.602 0.043   -1.0
0.400 0.892 0.322 0.597   1.0
0.864 0.119 0.946 0.112   -1.0*
0.200 0.098 0.265 0.903   -1.0
0.071 0.432 0.487 0.372   -1.0
0.007 0.567 0.587 0.498   -1.0
0.642 0.855 0.182 0.244   -1.0
0.911 0.644 0.790 0.233   1.0
0.722 0.097 0.360 0.669   -1.0
0.338 0.869 0.307 0.603   1.0
0.125 0.674 0.204 0.612   -1.0
0.834 0.618 0.613 0.421   1.0
0.971 0.063 0.972 0.153   1.0
