param n := 4;
param m := 100;
param nu := 1.0;

param y_train :=
1 -1.0
2 1.0
3 -1.0
4 1.0
5 -1.0
6 -1.0
7 -1.0
8 1.0
9 -1.0
10 -1.0
11 -1.0
12 1.0
13 -1.0
14 -1.0
15 1.0
16 -1.0
17 -1.0
18 -1.0
19 -1.0
20 1.0
21 -1.0
22 1.0
23 1.0
24 1.0
25 1.0
26 -1.0
27 1.0
28 1.0
29 1.0
30 1.0
31 1.0
32 -1.0
33 -1.0
34 -1.0
35 -1.0
36 1.0
37 -1.0
38 -1.0
39 -1.0
40 -1.0
41 -1.0
42 1.0
43 1.0
44 1.0
45 -1.0
46 1.0
47 -1.0
48 1.0
49 1.0
50 1.0
51 1.0
52 1.0
53 -1.0
54 -1.0
55 1.0
56 1.0
57 1.0
58 1.0
59 -1.0
60 1.0
61 1.0
62 -1.0
63 1.0
64 -1.0
65 -1.0
66 1.0
67 1.0
68 1.0
69 1.0
70 1.0
71 1.0
72 -1.0
73 -1.0
74 1.0
75 -1.0
76 -1.0
77 1.0
78 -1.0
79 1.0
80 1.0
81 -1.0
82 1.0
83 -1.0
84 -1.0
85 1.0
86 -1.0
87 1.0
88 1.0
89 -1.0
90 1.0
91 1.0
92 -1.0
93 1.0
94 -1.0
95 -1.0
96 1.0
97 -1.0
98 -1.0
99 1.0
100 1.0
;

param A_train : 1 2 3 4 :=
1 0.205 0.25 0.068 0.478
2 0.772 0.807 0.991 0.888
3 0.471 0.692 0.422 0.24
4 0.802 0.37 0.111 0.904
5 0.197 0.711 0.461 0.432
6 0.271 0.962 0.787 0.522
7 0.522 0.222 0.016 0.473
8 0.186 0.421 0.638 0.549
9 0.383 0.295 0.808 0.245
10 0.849 0.593 0.197 0.04
11 0.692 0.034 0.168 0.896
12 0.871 0.67 0.752 0.044
13 0.239 0.581 0.389 0.4
14 0.129 0.507 0.751 0.382
15 0.053 0.803 0.852 0.647
16 0.147 0.108 0.961 0.702
17 0.642 0.855 0.182 0.244
18 0.133 0.121 0.102 0.506
19 0.123 0.003 0.721 0.704
20 0.381 0.799 0.215 0.352
21 0.636 0.455 0.559 0.929
22 0.721 0.674 0.738 0.919
23 0.743 0.774 0.731 0.891
24 0.981 0.424 0.953 0.44
25 0.603 0.891 0.92 0.909
26 0.125 0.674 0.204 0.612
27 0.676 0.361 0.915 0.427
28 0.215 0.73 0.264 0.828
29 0.442 0.667 0.39 0.628
